experience_level,salary,remote_ratio,company_size
SE,150000,100,M
SE,140000,100,M
SE,125000,100,M
SE,110000,100,M
SE,121800,100,L
SE,81200,100,L
MI,70000,100,L
EX,125000,0,L
MI,105000,100,L
SE,207500,100,M
SE,125000,100,M
MI,110000,100,L
SE,181940,100,M
SE,132000,100,M
MI,106000,50,M
SE,137000,100,L
SE,137000,100,L
SE,210000,100,M
SE,160000,100,M
SE,228600,100,L
SE,153600,100,L
SE,146000,0,M
SE,122000,0,M
SE,228600,100,L
SE,153600,100,L
SE,182000,100,M
SE,153000,100,M
EN,110000,100,M
SE,228518,100,L
SE,153550,100,L
SE,188700,100,L
SE,103600,100,L
SE,157250,100,M
SE,133663,100,M
SE,150000,100,M
SE,130000,100,M
EN,63000,50,S
MI,95000,0,M
MI,70000,0,M
EX,315000,100,L
SE,220000,100,M
SE,140000,100,M
EN,50000,0,S
SE,85000,100,L
MI,90000,100,L
EN,50000,0,S
EX,290000,100,L
EX,232000,100,L
EX,244000,100,L
EN,112000,100,L
EN,72000,100,L
MI,152000,0,M
MI,91000,0,M
MI,207000,100,L
MI,115000,100,L
EN,52000,100,L
SE,237000,100,L
EN,150000,50,M
SE,110000,0,L
EN,104000,100,L
EN,75000,0,M
SE,165000,100,L
SE,190000,100,L
SE,135000,100,L
MI,97900,50,L
SE,90000,100,S
SE,175000,100,L
MI,89998,0,L
MI,150000,100,L
MI,115000,100,L
MI,135000,50,L
EX,102000,50,L
SE,108000,100,L
SE,200000,100,M
EN,50000,0,S
SE,157000,0,M
SE,108000,0,M
EX,148000,0,L
MI,130000,0,M
MI,120000,0,M
SE,184800,100,M
SE,130800,100,M
MI,114000,0,L
SE,207000,100,M
SE,153000,100,M
SE,245000,100,L
SE,98000,50,L
SE,220100,100,M
SE,176080,100,M
SE,226400,100,L
SE,124300,100,L
SE,145000,100,L
EN,50000,100,L
EN,50000,100,L
SE,238200,100,L
SE,176100,100,L
SE,181940,100,M
SE,132000,100,M
SE,186000,100,M
SE,148800,100,M
SE,252000,100,M
SE,145000,100,M
EX,236000,100,L
SE,167000,100,M
EX,175000,100,M
MI,86500,50,L
SE,200100,100,M
SE,160080,100,M
SE,165400,100,M
SE,132320,100,M
SE,207800,100,L
SE,153600,100,L
MI,88000,100,L
EX,180000,100,L
SE,250600,100,M
SE,118100,100,M
SE,105800,100,M
SE,81600,100,M
EN,140000,100,L
SE,267840,100,M
SE,214056,100,M
SE,240000,100,L
EN,60000,100,L
EN,60000,100,L
EN,60000,100,S
EN,115000,100,M
SE,175000,0,S
EX,180000,100,L
MI,101000,100,L
MI,101000,100,L
SE,175000,100,L
MI,97500,100,L
EN,67000,100,L
SE,124600,100,M
SE,96000,100,M
SE,180000,100,M
SE,140000,100,M
SE,245000,0,M
SE,190000,0,M
SE,226400,100,L
SE,124300,100,L
EN,91600,100,L
MI,165000,50,L
SE,160000,100,L
SE,92400,100,L
SE,103000,100,L
SE,154000,100,M
SE,139000,100,M
EX,160000,100,M
EX,120000,100,M
SE,82900,100,M
SE,63900,100,M
EN,75000,100,L
EN,75000,100,L
MI,89000,0,L
MI,68462,0,L
SE,276900,100,M
SE,168400,100,M
SE,105800,0,M
SE,81600,0,M
SE,177600,100,L
SE,131300,100,L
SE,120000,100,M
SE,90000,100,M
MI,145000,100,M
MI,105400,100,M
SE,220000,0,M
SE,140000,0,M
SE,175000,100,M
SE,130000,100,M
SE,60000,100,M
MI,200100,100,M
MI,160080,100,M
MI,135000,100,M
MI,100000,100,M
SE,195000,100,M
SE,170000,100,M
MI,108070,100,M
MI,91860,100,M
SE,207800,100,L
SE,153600,100,L
MI,102600,100,M
MI,82080,100,M
MI,160000,0,M
MI,110000,0,M
MI,180000,100,M
MI,140000,100,M
EX,240000,100,M
EX,180000,100,M
MI,152000,0,M
MI,91000,0,M
MI,200100,100,M
MI,160080,100,M
MI,193800,100,M
MI,62000,100,M
SE,160000,100,L
SE,120000,100,L
SE,192400,100,M
SE,90700,100,M
SE,150260,100,M
SE,109280,100,M
SE,175000,0,M
SE,90000,0,M
SE,200100,100,M
SE,160080,100,M
SE,130200,100,M
SE,106500,100,M
SE,146800,100,M
SE,118200,100,M
SE,165200,100,M
SE,133000,100,M
SE,165200,100,M
SE,133000,100,M
SE,146800,100,M
SE,118200,100,M
SE,115700,100,M
SE,94700,100,M
MI,60000,100,M
MI,50000,100,M
SE,144200,0,M
SE,132870,0,M
SE,175000,0,M
SE,120000,0,M
SE,180000,100,M
SE,80000,100,M
MI,91670,0,L
MI,63500,0,L
SE,180000,0,M
SE,90000,0,M
SE,165400,100,M
SE,132320,100,M
SE,184800,100,M
SE,148800,100,M
SE,165400,100,M
SE,132320,100,M
MI,145000,100,M
MI,118600,100,M
MI,152000,0,M
MI,91000,0,M
SE,157000,0,M
SE,108000,0,M
SE,175000,100,M
SE,90000,100,M
SE,220000,100,M
SE,165400,100,M
SE,184800,100,M
SE,148800,100,M
SE,145000,100,M
SE,118600,100,M
SE,165400,0,M
SE,132320,0,M
SE,165400,100,M
SE,132320,100,M
SE,160000,100,M
SE,130000,100,M
MI,115000,100,M
MI,100000,100,M
SE,131500,100,M
SE,111775,100,M
SE,221500,100,M
SE,104400,100,M
SE,210000,0,M
SE,160000,0,M
MI,140000,100,S
MI,90000,100,S
SE,165400,100,M
SE,132320,100,M
MI,60000,100,M
MI,50000,100,M
SE,267840,100,M
SE,214056,100,M
SE,201000,100,M
SE,160080,100,M
MI,172000,0,M
MI,87000,0,M
MI,141300,0,M
MI,102100,0,M
MI,141300,0,M
MI,88100,0,M
SE,120000,100,M
SE,30000,100,M
SE,222500,100,M
SE,135000,100,M
EX,300000,100,M
EX,250000,100,M
SE,168400,100,M
SE,148000,100,M
SE,165400,100,M
SE,132320,100,M
SE,200100,100,M
SE,160080,100,M
SE,220100,100,M
SE,176080,100,M
MI,65000,100,M
MI,55000,100,M
SE,230000,0,M
SE,190000,0,M
SE,182750,100,M
SE,153000,100,M
MI,210000,100,M
MI,140000,100,M
SE,207000,100,M
SE,153000,100,M
MI,182000,100,M
MI,153000,100,M
SE,220100,100,M
SE,176080,100,M
SE,120000,100,M
SE,90000,100,M
MI,60000,100,M
MI,50000,100,M
SE,276900,100,M
SE,104400,100,M
SE,192400,100,M
SE,90700,100,M
MI,208775,100,M
MI,147800,100,M
SE,157000,0,M
SE,108000,0,M
MI,152000,0,M
MI,91000,0,M
SE,200100,100,M
SE,160080,100,M
MI,200000,100,L
EX,220000,100,M
EN,150000,100,M
SE,271600,100,L
MI,122500,100,S
MI,129000,100,L
SE,260000,100,L
SE,145000,100,L
SE,135000,100,S
MI,126000,0,M
MI,122000,50,L
MI,140000,100,L
SE,150000,100,L
SE,172500,100,L
MI,120000,50,L
EX,259000,50,L
SE,180000,50,L
SE,250000,100,L
EN,105000,100,L
SE,104000,100,M
SE,192500,100,S
SE,190000,0,L
MI,100000,100,L
SE,224000,100,L
SE,125000,100,L
SE,120000,100,L
SE,215000,100,L
MI,260000,100,L
EN,50000,100,L
SE,149000,100,M
SE,107000,0,L
SE,140000,100,M
SE,232000,100,L
SE,127000,100,L
MI,130000,100,S
SE,135000,0,L
SE,135000,0,L
EX,325000,100,L
EN,100000,50,L
SE,150000,100,L
MI,130000,100,M
SE,135000,100,M
SE,100000,100,M
EN,85000,0,L
SE,180000,100,L
SE,150000,100,L
EN,55000,0,M
SE,175000,100,M
EN,70000,100,L
EN,200000,100,L
MI,90000,100,L
EX,201000,100,L
SE,196000,100,L
SE,137000,50,M
MI,180000,100,L
MI,250000,100,L
SE,128000,100,L
SE,150000,100,L
MI,150000,0,L
MI,180000,100,L
SE,130000,0,L
MI,127000,100,L
MI,108856,0,L
MI,87000,50,L
SE,130000,50,L
SE,92000,100,L
MI,150000,100,L
SE,160000,100,L
SE,150000,50,L
MI,55000,50,L
SE,260000,100,L
SE,145000,0,L
SE,135000,0,L
MI,88000,0,L
MI,84000,0,L
SE,120000,100,M
SE,146000,100,L
EN,60000,100,M
SE,175000,100,L
SE,160000,100,L
MI,130000,100,M
EN,84300,100,L
EN,50000,100,S
EN,85000,100,L
MI,171200,100,L
MI,66000,100,L
EX,270000,50,L
MI,84583,0,L
EN,70000,0,L
EN,63000,50,L
EN,110000,50,M
EN,53000,50,M
EN,55000,50,S
SE,180000,100,L
SE,106000,100,L
MI,98000,100,L
SE,125000,50,L
MI,160000,100,L
SE,150000,100,M
EN,76000,50,L
EX,310000,50,L
MI,155000,100,L
