,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_size
602,2022,SE,FT,Security Engineer,119500,US,100,L
603,2021,EX,FT,Chief Information Security Officer,220500,US,100,L
604,2022,EN,FT,Security Analyst,70000,US,100,L
605,2022,SE,FT,Security Manager,172000,US,100,L
606,2022,SE,FT,Penetration Tester,118000,US,100,S
607,2021,SE,FT,Security Engineer,130000,NL,100,L
610,2021,MI,FT,Security Analyst,73300,US,0,L
611,2022,MI,FT,Penetration Tester,143000,US,100,L
613,2021,SE,FT,Penetration Tester,105000,US,100,S
618,2022,SE,FT,Security Engineer,105000,US,0,S
620,2022,MI,FT,Security Engineer,130000,US,100,L
627,2022,EN,CT,Security Analyst,70000,US,100,L
628,2022,EN,FT,Threat Intelligence,85000,US,100,L
629,2022,SE,FT,Threat Intelligence,181000,US,100,L
630,2022,SE,FT,Security Manager,224000,US,100,L
631,2022,SE,FT,Security Architect,286000,BR,100,L
633,2022,EX,FT,Security Director,220000,US,100,L
636,2021,SE,FT,Security Specialist,211000,US,100,L
637,2022,SE,FT,Security Architect,110000,US,100,L
638,2022,MI,FT,Threat Intelligence,200000,US,100,L
639,2021,MI,FT,Security Engineer,170000,US,100,L
640,2021,SE,FT,Security Manager,135000,US,100,L
641,2022,EX,FT,Threat Intelligence,189000,US,100,L
642,2021,EX,FT,Security Director,173000,US,100,M
643,2022,SE,FT,Security Manager,249000,US,100,L
644,2022,SE,FT,Security Manager,140000,US,100,L
645,2022,SE,CT,Security Engineer,135000,US,50,L
647,2022,SE,FT,Security Manager,600000,US,100,L
648,2021,MI,FT,Security Specialist,100000,US,50,L
649,2021,SE,FT,Security Engineer,102000,US,50,L
650,2022,MI,FT,Security Analyst,60000,US,100,M
651,2022,SE,FT,Security Manager,183000,US,100,L
652,2022,SE,FT,Security Architect,190000,US,100,L
653,2022,MI,FT,Security Engineer,130000,US,100,L
655,2021,EN,FT,Security Engineer,175000,US,100,L
657,2022,MI,FT,Security Manager,150000,US,100,M
